layer,seq_len,BH,D,fp16_bytes,fp32_bytes,tq_bytes,ratio_fp16,ratio_fp32,cos_scores,cos_weights,rel_l2_output,encode_ms,attn_ms_baseline,attn_ms_tq
0,117,8,64,239616,479232,59904,4,8,0.918789,0.908067,0.665878,9.46172,0.034583,0.136823
1,117,8,64,239616,479232,59904,4,8,0.916949,0.917996,0.605362,6.76505,0.032969,0.08849
2,117,8,64,239616,479232,59904,4,8,0.931475,0.905354,0.643815,6.01161,0.023802,0.081927
3,117,8,64,239616,479232,59904,4,8,0.911845,0.914069,0.579652,6.13812,0.021302,0.077656
4,117,8,64,239616,479232,59904,4,8,0.916247,0.921183,0.608149,6.32162,0.020886,0.088021
5,117,8,64,239616,479232,59904,4,8,0.918182,0.928391,0.586134,6.19193,0.020886,0.081875
6,117,8,64,239616,479232,59904,4,8,0.921825,0.957549,0.488481,6.39609,0.021979,0.099271
7,117,8,64,239616,479232,59904,4,8,0.924596,0.909964,0.621225,6.33833,0.020885,0.077709
8,117,8,64,239616,479232,59904,4,8,0.918056,0.926409,0.579505,6.41021,0.020833,0.077708
9,117,8,64,239616,479232,59904,4,8,0.918493,0.905768,0.64515,6.34146,0.020833,0.077761
10,117,8,64,239616,479232,59904,4,8,0.920799,0.942434,0.526028,6.35068,0.020937,0.077604
11,117,8,64,239616,479232,59904,4,8,0.915164,0.916231,0.6284,6.50349,0.020833,0.088177
12,117,8,64,239616,479232,59904,4,8,0.926656,0.926043,0.593401,6.19943,0.020833,0.088385
13,117,8,64,239616,479232,59904,4,8,0.906839,0.918575,0.631248,6.23729,0.020886,0.077656
14,117,8,64,239616,479232,59904,4,8,0.911531,0.922289,0.609989,6.31391,0.020834,0.08823
15,117,8,64,239616,479232,59904,4,8,0.914381,0.916276,0.567139,6.3599,0.020886,0.088021
