device,backend,seq_len,bh,d,bits,baseline_attn_ms,tq_attn_ms,attn_speedup,baseline_mem_bytes,tq_mem_bytes,compression_ratio,encode_ms,attn_score_cosine_sim,attn_output_rel_l2
android,vulkan,128,8,128,3,0.0667394,20.5523,0.00324729,524288,122880,4.26667,23.2583,0.936011,0.583509
android,vulkan,512,8,128,3,0.686417,28.3812,0.0241856,2097152,491520,4.26667,116.548,0.92363,0.553958
android,vulkan,2048,8,128,3,1.38043,19.2743,0.0716201,8388608,1966080,4.26667,362.179,0.901977,0.663244
android,vulkan,4096,8,128,3,2.25261,22.7337,0.0990869,16777216,3932160,4.26667,697.106,0.918475,0.616765
