device,backend,seq_len,bh,d,bits,baseline_attn_ms,tq_attn_ms,attn_speedup,baseline_mem_bytes,tq_mem_bytes,compression_ratio,encode_ms,attn_score_cosine_sim,attn_output_rel_l2
android,cpu_scalar,128,8,128,3,0.0983438,0.212323,0.46318,524288,122880,4.26667,46.1094,0.936011,0.58351
android,cpu_scalar,512,8,128,3,0.267312,0.617302,0.433033,2097152,491520,4.26667,109.548,0.92363,0.553958
android,cpu_scalar,2048,8,128,3,1.16926,2.24607,0.52058,8388608,1966080,4.26667,438.259,0.901977,0.663244
android,cpu_scalar,4096,8,128,3,2.08019,4.93346,0.421649,16777216,3932160,4.26667,909.368,0.918475,0.616765
