device,backend,seq_len,bh,d,bits,baseline_attn_ms,tq_attn_ms,attn_speedup,baseline_mem_bytes,tq_mem_bytes,compression_ratio,encode_ms,attn_score_cosine_sim,attn_output_rel_l2
android,opencl,128,8,128,3,0.0639792,23.61,0.00270983,524288,122880,4.26667,35.7227,0.936011,0.583509
android,opencl,512,8,128,3,0.338479,21.4037,0.0158141,2097152,491520,4.26667,111.407,0.92363,0.553958
android,opencl,2048,8,128,3,1.11406,24.6636,0.0451703,8388608,1966080,4.26667,364.574,0.901977,0.663244
android,opencl,4096,8,128,3,2.14404,20.5979,0.10409,16777216,3932160,4.26667,716.526,0.918475,0.616765
