device,backend,seq_len,bh,d,bits,baseline_attn_ms,tq_attn_ms,attn_speedup,baseline_mem_bytes,tq_mem_bytes,compression_ratio,encode_ms,attn_score_cosine_sim,attn_output_rel_l2
android,cpu_neon,128,8,128,3,0.190417,0.378896,0.502556,524288,122880,4.26667,46.7984,0.936011,0.58351
android,cpu_neon,256,8,128,3,0.255802,0.59751,0.428113,1048576,245760,4.26667,84.1038,0.928889,0.591703
android,cpu_neon,512,8,128,3,0.511615,1.04537,0.489408,2097152,491520,4.26667,168.588,0.92363,0.553958
android,cpu_neon,1024,8,128,3,1.0374,1.91038,0.543033,4194304,983040,4.26667,336.466,0.904907,0.613105
android,cpu_neon,2048,8,128,3,2.07716,3.66541,0.566692,8388608,1966080,4.26667,679.925,0.901977,0.663244
android,cpu_neon,4096,8,128,3,4.14735,7.21589,0.574753,16777216,3932160,4.26667,1349.4,0.918475,0.616765
