device,backend,seq_len,bh,d,bits,baseline_attn_ms,tq_attn_ms,attn_speedup,baseline_mem_bytes,tq_mem_bytes,compression_ratio,encode_ms,attn_score_cosine_sim,attn_output_rel_l2
android,vulkan,128,8,128,3,0.0960208,17.2484,0.00556693,524288,122880,4.26667,68.6345,0.936011,0.583509
android,vulkan,512,8,128,3,0.352844,24.3816,0.0144717,2097152,491520,4.26667,106.302,0.92363,0.553958
android,vulkan,2048,8,128,3,1.07074,18.5757,0.057642,8388608,1966080,4.26667,386.656,0.901977,0.663244
android,vulkan,4096,8,128,3,2.08291,24.6794,0.0843985,16777216,3932160,4.26667,767.366,0.918475,0.616765
